WEEKLY (ROUGHLY) FREON-11 READINGS AT NORTHWESTERN??? 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = NWRF11_WK.DAT
NUMBER OF OBSERVATIONS = 941
RESPONSE VARIABLE = MEAN FREON-11 CONCENTRATION (IN PARTS PER TRILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) FREON-11 CONCENTRATION (PPT)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2)
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11)
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977   7  43  0.7 146.2 32   1.0017 -99.9900
1977   7  43  1.0 145.7 32   1.0017 -99.9900
1977  17  44  2.4 147.6 32   1.0043 -99.9900
1977  17  44  2.8 151.3 32   1.0043 -99.9900
1977  27  45  0.5 145.5 32   1.0080 -99.9900
1977  27  45  1.8 146.0 32   1.0080 -99.9900
1977  34  46  3.4 143.4 32   1.0032 -99.9900
1977  34  46  1.3 144.5 32   1.0032 -99.9900
1977  40  47  0.5 188.1 36   1.0035 -99.9900
1977  40  47  1.4 199.4 38   1.0035 -99.9900
1977  54  48  0.0 164.5 36   1.0031 -99.9900
1977  54  48  0.0 169.2 36   1.0031 -99.9900
1977  66  49  0.2 230.9 36   1.0024 -99.9900
1977  66  49  1.5 217.0 38   1.0024 -99.9900
1977  68  50  0.0 132.8 32   1.0017 -99.9900
1977  68  50  0.0 370.8 38   1.0017 -99.9900
1977  77  51  2.5 141.1 32   1.0035 -99.9900
1977  77  51  0.2 140.9 32   1.0035 -99.9900
1977  84  52  1.5 134.4 32   1.0025 -99.9900
1977  84  52  0.9 136.3 32   1.0025 -99.9900
1977  89  53  0.0 142.1 32   1.0028 -99.9900
1977  89  53  0.0 630.3 38   1.0028 -99.9900
1977  97  54  0.0 904.2 36   1.0028 -99.9900
